price,bed_rooms,bath_rooms,sq_ft,lot_size,price_per_sq_ft,geo_distance_km,bed_to_bath_ratio,median_homeprice_byzip,Median_income,Population,percapitmedianzipprice
126900.0,3.0,2.0,1116.0,1.251,113.70967741935483,190.15357105717214,0.6666666666666666,123450.0,36230.4716,3426.0,36.03327495621716
211120.0,3.0,3.0,1249.0,0.11,169.031224979984,19.432667912771667,1.0,260565.0,61710.511,41552.0,6.270817289179823
279500.0,4.0,2.0,1923.0,1.052,145.3458138325533,168.64437954699997,0.5,285000.0,49097.3316,10880.0,26.19485294117647
198000.0,3.0,3.0,1916.0,5.0,103.34029227557411,218.51362350692497,1.0,291500.0,41633.3691,4837.0,60.26462683481497
192500.0,3.0,2.0,1500.0,0.304,128.33333333333334,138.13025315922835,0.6666666666666666,265000.0,47583.138,4068.0,65.14257620452311
299000.0,3.0,2.0,2568.0,0.304,116.43302180685359,156.35153920133737,0.6666666666666666,467500.0,51242.0701,28717.0,16.279555663892467
200000.0,3.0,2.0,1600.0,0.172,125.0,19.432667912771667,0.6666666666666666,260565.0,61710.511,41552.0,6.270817289179823
110000.0,3.0,2.0,924.0,5.3,119.04761904761905,117.64410910266369,0.6666666666666666,180000.0,40354.9083,7759.0,23.19886583322593
359000.0,3.0,2.0,1764.0,0.304,203.51473922902494,226.14593654551388,0.6666666666666666,292000.0,39112.8669,6719.0,43.45884804286352
210000.0,3.0,2.0,1204.0,10.0,174.41860465116278,168.64437954699997,0.6666666666666666,285000.0,49097.3316,10880.0,26.19485294117647
429700.0,4.0,3.0,2487.0,0.304,172.77844792923202,27.7384735558629,0.75,489000.0,99918.6382,6543.0,74.73635946813388
160000.0,3.0,2.0,1498.0,0.161,106.8090787716956,63.20923322224187,0.6666666666666666,202122.5,38127.5819,19423.0,10.406348143953045
185000.0,2.0,1.0,1066.0,0.179,173.54596622889306,159.9473271614247,0.5,262500.0,45476.9342,21284.0,12.333208043600827
445000.0,5.0,3.0,3441.0,1.12,129.32287125835512,18.202248848556764,0.6,375000.0,66960.7774,4744.0,79.04721753794266
134000.0,3.0,1.0,1365.0,0.304,98.16849816849818,180.4021293843836,0.3333333333333333,186450.0,47291.8366,6921.0,26.93974859124404
138000.0,3.0,2.0,1216.0,11.233,113.48684210526316,198.88031323753182,0.6666666666666666,199331.0,40448.9465,29701.0,6.7112555132823815
199000.0,3.0,2.0,1740.0,0.16,114.36781609195403,15.898997760219626,0.6666666666666666,249990.0,55587.9463,39817.0,6.278474018635256
399900.0,4.0,3.0,2454.0,0.25,162.95843520782395,234.5711721038794,0.75,254000.0,30852.4124,27601.0,9.202565124452013
160000.0,2.0,2.0,1560.0,0.304,102.56410256410257,165.95475611990523,1.0,162450.0,40183.1949,18699.0,8.687630354564416
178900.0,3.0,2.0,1760.0,0.304,101.64772727272727,108.84270505881074,0.6666666666666666,222450.0,50635.1587,26651.0,8.346778732505348
115000.0,3.0,2.0,1216.0,2.356,94.57236842105263,195.4020315836134,0.6666666666666666,575000.0,56238.0626,5967.0,96.36333165744931
134500.0,3.0,2.0,1344.0,0.161,100.07440476190476,172.3687435467987,0.6666666666666666,175000.0,49942.682,12284.0,14.246173884728101
389900.0,4.0,3.0,2373.0,0.224,164.30678466076697,19.432667912771667,0.75,260565.0,61710.511,41552.0,6.270817289179823
225000.0,3.0,2.0,1640.0,0.208,137.1951219512195,144.35180494628293,0.6666666666666666,225000.0,54783.5008,27969.0,8.04462083020487
150000.0,3.0,2.0,1410.0,1.5,106.38297872340425,27.7384735558629,0.6666666666666666,489000.0,99918.6382,6543.0,74.73635946813388
399000.0,4.0,2.0,2198.0,0.304,181.52866242038218,156.71551244051088,0.5,480700.0,68795.4886,15680.0,30.65688775510204
250000.0,2.0,1.0,1752.0,19.08,142.69406392694063,55.92924097996918,0.5,255000.0,42281.555,10924.0,23.343097766385938
345000.0,4.0,3.0,2136.0,0.062,161.51685393258427,218.7131882337553,0.75,315000.0,44005.1352,14423.0,21.84011648062123
179900.0,3.0,2.0,1215.0,0.2,148.06584362139918,15.898997760219626,0.6666666666666666,249990.0,55587.9463,39817.0,6.278474018635256
415000.0,5.0,3.0,1874.0,0.5,221.4514407684098,127.59953253436366,0.6,176200.0,46836.3484,46655.0,3.7766584503268676
395000.0,3.0,3.0,2673.0,0.191,147.77403666292554,167.0615688110645,1.0,265000.0,64511.4215,47225.0,5.611434621492854
219900.0,2.0,2.0,1760.0,0.304,124.94318181818181,108.84270505881074,1.0,222450.0,50635.1587,26651.0,8.346778732505348
258000.0,3.0,3.0,1784.0,0.304,144.61883408071748,17.085296221002395,1.0,340000.0,72051.3165,31732.0,10.714735913273667
329000.0,4.0,2.0,2000.0,0.165,164.5,17.085296221002395,0.5,303970.0,86655.9436,13373.0,22.730127869587974
425000.0,4.0,3.0,2564.0,0.28,165.75663026521062,277.9487579105364,0.75,337500.0,34723.1723,11992.0,28.14376250833889
399900.0,5.0,4.0,3144.0,0.179,127.19465648854961,156.71551244051088,0.8,480700.0,68795.4886,15680.0,30.65688775510204
268000.0,2.0,2.0,2247.0,5.38,119.27013796172675,89.48855328500382,1.0,268000.0,39863.7819,12031.0,22.275787548832184
230000.0,3.0,2.0,1691.0,0.189,136.01419278533413,54.0160277335031,0.6666666666666666,309450.0,42759.4269,17666.0,17.516698743348805
129000.0,3.0,2.0,1760.0,0.304,73.29545454545455,199.89492405762243,0.6666666666666666,175000.0,47278.2781,14220.0,12.306610407876232
220000.0,4.0,2.0,1667.0,0.198,131.9736052789442,31.398277983195666,0.5,247150.0,53438.7419,9060.0,27.279249448123622
425000.0,4.0,3.0,1974.0,12.26,215.29888551165146,255.17035774177174,0.75,425000.0,37964.2532,3231.0,131.53822346022903
